img1,img2,good,bad,cIdx,goodCount,badCount
https://anonymouslink/folder/0_1.png,https://anonymouslink/folder/0_2.png,https://anonymouslink/folder/0_2.png,https://anonymouslink/folder/0_1.png,0,1.0,0.0
https://anonymouslink/folder/1003_1.png,https://anonymouslink/folder/1003_2.png,https://anonymouslink/folder/1003_1.png,https://anonymouslink/folder/1003_2.png,1003,3.0,0.0
https://anonymouslink/folder/100_1.png,https://anonymouslink/folder/100_2.png,https://anonymouslink/folder/100_2.png,https://anonymouslink/folder/100_1.png,100,2.0,0.0
https://anonymouslink/folder/101_1.png,https://anonymouslink/folder/101_2.png,https://anonymouslink/folder/101_2.png,https://anonymouslink/folder/101_1.png,101,2.0,0.0
https://anonymouslink/folder/102_1.png,https://anonymouslink/folder/102_2.png,https://anonymouslink/folder/102_2.png,https://anonymouslink/folder/102_1.png,102,2.0,0.0
https://anonymouslink/folder/103_1.png,https://anonymouslink/folder/103_2.png,https://anonymouslink/folder/103_1.png,https://anonymouslink/folder/103_2.png,103,2.0,0.0
https://anonymouslink/folder/104_1.png,https://anonymouslink/folder/104_2.png,https://anonymouslink/folder/104_1.png,https://anonymouslink/folder/104_2.png,104,2.0,0.0
https://anonymouslink/folder/105_1.png,https://anonymouslink/folder/105_2.png,https://anonymouslink/folder/105_1.png,https://anonymouslink/folder/105_2.png,105,2.0,0.0
https://anonymouslink/folder/106_1.png,https://anonymouslink/folder/106_2.png,https://anonymouslink/folder/106_1.png,https://anonymouslink/folder/106_2.png,106,2.0,0.0
https://anonymouslink/folder/107_1.png,https://anonymouslink/folder/107_2.png,https://anonymouslink/folder/107_1.png,https://anonymouslink/folder/107_2.png,107,2.0,0.0
https://anonymouslink/folder/108_1.png,https://anonymouslink/folder/108_2.png,https://anonymouslink/folder/108_2.png,https://anonymouslink/folder/108_1.png,108,1.0,0.0
https://anonymouslink/folder/109_1.png,https://anonymouslink/folder/109_2.png,https://anonymouslink/folder/109_1.png,https://anonymouslink/folder/109_2.png,109,1.0,0.0
https://anonymouslink/folder/10_1.png,https://anonymouslink/folder/10_2.png,https://anonymouslink/folder/10_2.png,https://anonymouslink/folder/10_1.png,10,1.0,0.0
https://anonymouslink/folder/110_1.png,https://anonymouslink/folder/110_2.png,https://anonymouslink/folder/110_2.png,https://anonymouslink/folder/110_1.png,110,1.0,0.0
https://anonymouslink/folder/111_1.png,https://anonymouslink/folder/111_2.png,https://anonymouslink/folder/111_1.png,https://anonymouslink/folder/111_2.png,111,1.0,0.0
https://anonymouslink/folder/112_1.png,https://anonymouslink/folder/112_2.png,https://anonymouslink/folder/112_2.png,https://anonymouslink/folder/112_1.png,112,1.0,0.0
https://anonymouslink/folder/113_1.png,https://anonymouslink/folder/113_2.png,https://anonymouslink/folder/113_1.png,https://anonymouslink/folder/113_2.png,113,1.0,0.0
https://anonymouslink/folder/114_1.png,https://anonymouslink/folder/114_2.png,https://anonymouslink/folder/114_2.png,https://anonymouslink/folder/114_1.png,114,1.0,0.0
https://anonymouslink/folder/115_1.png,https://anonymouslink/folder/115_2.png,https://anonymouslink/folder/115_1.png,https://anonymouslink/folder/115_2.png,115,1.0,0.0
https://anonymouslink/folder/116_1.png,https://anonymouslink/folder/116_2.png,https://anonymouslink/folder/116_1.png,https://anonymouslink/folder/116_2.png,116,1.0,0.0
https://anonymouslink/folder/11_1.png,https://anonymouslink/folder/11_2.png,https://anonymouslink/folder/11_1.png,https://anonymouslink/folder/11_2.png,11,1.0,0.0
https://anonymouslink/folder/126_1.png,https://anonymouslink/folder/126_2.png,https://anonymouslink/folder/126_2.png,https://anonymouslink/folder/126_1.png,126,2.0,0.0
https://anonymouslink/folder/127_1.png,https://anonymouslink/folder/127_2.png,https://anonymouslink/folder/127_1.png,https://anonymouslink/folder/127_2.png,127,2.0,0.0
https://anonymouslink/folder/129_1.png,https://anonymouslink/folder/129_2.png,https://anonymouslink/folder/129_2.png,https://anonymouslink/folder/129_1.png,129,2.0,0.0
https://anonymouslink/folder/12_1.png,https://anonymouslink/folder/12_2.png,https://anonymouslink/folder/12_1.png,https://anonymouslink/folder/12_2.png,12,1.0,0.0
https://anonymouslink/folder/130_1.png,https://anonymouslink/folder/130_2.png,https://anonymouslink/folder/130_2.png,https://anonymouslink/folder/130_1.png,130,2.0,0.0
https://anonymouslink/folder/132_1.png,https://anonymouslink/folder/132_2.png,https://anonymouslink/folder/132_2.png,https://anonymouslink/folder/132_1.png,132,2.0,0.0
https://anonymouslink/folder/133_1.png,https://anonymouslink/folder/133_2.png,https://anonymouslink/folder/133_2.png,https://anonymouslink/folder/133_1.png,133,2.0,0.0
https://anonymouslink/folder/135_1.png,https://anonymouslink/folder/135_2.png,https://anonymouslink/folder/135_1.png,https://anonymouslink/folder/135_2.png,135,1.0,0.0
https://anonymouslink/folder/136_1.png,https://anonymouslink/folder/136_2.png,https://anonymouslink/folder/136_1.png,https://anonymouslink/folder/136_2.png,136,1.0,0.0
https://anonymouslink/folder/137_1.png,https://anonymouslink/folder/137_2.png,https://anonymouslink/folder/137_2.png,https://anonymouslink/folder/137_1.png,137,1.0,0.0
https://anonymouslink/folder/138_1.png,https://anonymouslink/folder/138_2.png,https://anonymouslink/folder/138_1.png,https://anonymouslink/folder/138_2.png,138,1.0,0.0
https://anonymouslink/folder/139_1.png,https://anonymouslink/folder/139_2.png,https://anonymouslink/folder/139_2.png,https://anonymouslink/folder/139_1.png,139,1.0,0.0
https://anonymouslink/folder/13_1.png,https://anonymouslink/folder/13_2.png,https://anonymouslink/folder/13_2.png,https://anonymouslink/folder/13_1.png,13,1.0,0.0
https://anonymouslink/folder/140_1.png,https://anonymouslink/folder/140_2.png,https://anonymouslink/folder/140_2.png,https://anonymouslink/folder/140_1.png,140,1.0,0.0
https://anonymouslink/folder/141_1.png,https://anonymouslink/folder/141_2.png,https://anonymouslink/folder/141_2.png,https://anonymouslink/folder/141_1.png,141,1.0,0.0
https://anonymouslink/folder/142_1.png,https://anonymouslink/folder/142_2.png,https://anonymouslink/folder/142_2.png,https://anonymouslink/folder/142_1.png,142,1.0,0.0
https://anonymouslink/folder/143_1.png,https://anonymouslink/folder/143_2.png,https://anonymouslink/folder/143_1.png,https://anonymouslink/folder/143_2.png,143,1.0,0.0
https://anonymouslink/folder/149_1.png,https://anonymouslink/folder/149_2.png,https://anonymouslink/folder/149_2.png,https://anonymouslink/folder/149_1.png,149,2.0,0.0
https://anonymouslink/folder/14_1.png,https://anonymouslink/folder/14_2.png,https://anonymouslink/folder/14_2.png,https://anonymouslink/folder/14_1.png,14,1.0,0.0
https://anonymouslink/folder/152_1.png,https://anonymouslink/folder/152_2.png,https://anonymouslink/folder/152_1.png,https://anonymouslink/folder/152_2.png,152,2.0,0.0
https://anonymouslink/folder/153_1.png,https://anonymouslink/folder/153_2.png,https://anonymouslink/folder/153_2.png,https://anonymouslink/folder/153_1.png,153,1.0,0.0
https://anonymouslink/folder/154_1.png,https://anonymouslink/folder/154_2.png,https://anonymouslink/folder/154_1.png,https://anonymouslink/folder/154_2.png,154,1.0,0.0
https://anonymouslink/folder/155_1.png,https://anonymouslink/folder/155_2.png,https://anonymouslink/folder/155_2.png,https://anonymouslink/folder/155_1.png,155,1.0,0.0
https://anonymouslink/folder/156_1.png,https://anonymouslink/folder/156_2.png,https://anonymouslink/folder/156_1.png,https://anonymouslink/folder/156_2.png,156,1.0,0.0
https://anonymouslink/folder/157_1.png,https://anonymouslink/folder/157_2.png,https://anonymouslink/folder/157_1.png,https://anonymouslink/folder/157_2.png,157,1.0,0.0
https://anonymouslink/folder/158_1.png,https://anonymouslink/folder/158_2.png,https://anonymouslink/folder/158_1.png,https://anonymouslink/folder/158_2.png,158,1.0,0.0
https://anonymouslink/folder/159_1.png,https://anonymouslink/folder/159_2.png,https://anonymouslink/folder/159_2.png,https://anonymouslink/folder/159_1.png,159,1.0,0.0
https://anonymouslink/folder/15_1.png,https://anonymouslink/folder/15_2.png,https://anonymouslink/folder/15_2.png,https://anonymouslink/folder/15_1.png,15,1.0,0.0
